ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,FNS31292,31292.TXT,0.22385,0.15642,0.18415,3

ROUGE-1+StopWordRemoval,FNS31292,31292.TXT,0.29333,0.14264,0.19194,3

ROUGE-2+StopWordRemoval,FNS31292,31292.TXT,0.11561,0.04816,0.06799,3

ROUGE-SU4+StopWordRemoval,FNS31292,31292.TXT,0.19092,0.06653,0.09868,3

ROUGE-L+StopWordRemoval,FNS32140,32140.TXT,0.26206,0.16964,0.20596,3

ROUGE-1+StopWordRemoval,FNS32140,32140.TXT,0.28027,0.19465,0.22974,3

ROUGE-2+StopWordRemoval,FNS32140,32140.TXT,0.10995,0.06566,0.08222,3

ROUGE-SU4+StopWordRemoval,FNS32140,32140.TXT,0.17931,0.10441,0.13197,3

ROUGE-L+StopWordRemoval,FNS32020,32020.TXT,0.31239,0.23460,0.26796,3

ROUGE-1+StopWordRemoval,FNS32020,32020.TXT,0.33174,0.35404,0.34253,3

ROUGE-2+StopWordRemoval,FNS32020,32020.TXT,0.17425,0.14961,0.16099,3

ROUGE-SU4+StopWordRemoval,FNS32020,32020.TXT,0.24004,0.19885,0.21751,3

ROUGE-L+StopWordRemoval,FNS32141,32141.TXT,0.44961,0.16071,0.23679,4

ROUGE-1+StopWordRemoval,FNS32141,32141.TXT,0.55428,0.22432,0.31938,4

ROUGE-2+StopWordRemoval,FNS32141,32141.TXT,0.31005,0.10123,0.15262,4

ROUGE-SU4+StopWordRemoval,FNS32141,32141.TXT,0.40421,0.12590,0.19200,4

ROUGE-L+StopWordRemoval,FNS31053,31053.TXT,0.27390,0.26833,0.27108,3

ROUGE-1+StopWordRemoval,FNS31053,31053.TXT,0.35852,0.32668,0.34186,3

ROUGE-2+StopWordRemoval,FNS31053,31053.TXT,0.16756,0.11850,0.13882,3

ROUGE-SU4+StopWordRemoval,FNS31053,31053.TXT,0.23654,0.16819,0.19660,3

ROUGE-L+StopWordRemoval,FNS32021,32021.TXT,0.33570,0.18905,0.24188,4

ROUGE-1+StopWordRemoval,FNS32021,32021.TXT,0.46915,0.26325,0.33726,4

ROUGE-2+StopWordRemoval,FNS32021,32021.TXT,0.26213,0.11165,0.15660,4

ROUGE-SU4+StopWordRemoval,FNS32021,32021.TXT,0.32813,0.14955,0.20546,4

ROUGE-L+StopWordRemoval,FNS32384,32384.TXT,0.28740,0.25000,0.26740,3

ROUGE-1+StopWordRemoval,FNS32384,32384.TXT,0.32433,0.19117,0.24055,3

ROUGE-2+StopWordRemoval,FNS32384,32384.TXT,0.12239,0.06071,0.08116,3

ROUGE-SU4+StopWordRemoval,FNS32384,32384.TXT,0.19535,0.08099,0.11451,3

ROUGE-L+StopWordRemoval,FNS32143,32143.TXT,0.22176,0.21353,0.21757,3

ROUGE-1+StopWordRemoval,FNS32143,32143.TXT,0.21540,0.26395,0.23722,3

ROUGE-2+StopWordRemoval,FNS32143,32143.TXT,0.07929,0.07747,0.07837,3

ROUGE-SU4+StopWordRemoval,FNS32143,32143.TXT,0.14701,0.13790,0.14231,3

ROUGE-L+StopWordRemoval,FNS32144,32144.TXT,0.37049,0.33034,0.34927,3

ROUGE-1+StopWordRemoval,FNS32144,32144.TXT,0.29509,0.43182,0.35059,3

ROUGE-2+StopWordRemoval,FNS32144,32144.TXT,0.13423,0.19862,0.16019,3

ROUGE-SU4+StopWordRemoval,FNS32144,32144.TXT,0.16852,0.27351,0.20855,3

ROUGE-L+StopWordRemoval,FNS30888,30888.TXT,0.29461,0.22131,0.25275,3

ROUGE-1+StopWordRemoval,FNS30888,30888.TXT,0.32403,0.23093,0.26967,3

ROUGE-2+StopWordRemoval,FNS30888,30888.TXT,0.12065,0.06450,0.08406,3

ROUGE-SU4+StopWordRemoval,FNS30888,30888.TXT,0.18570,0.09277,0.12373,3

ROUGE-L+StopWordRemoval,FNS31857,31857.TXT,0.34475,0.13848,0.19759,4

ROUGE-1+StopWordRemoval,FNS31857,31857.TXT,0.41058,0.14213,0.21116,4

ROUGE-2+StopWordRemoval,FNS31857,31857.TXT,0.11854,0.02983,0.04766,4

ROUGE-SU4+StopWordRemoval,FNS31857,31857.TXT,0.24762,0.06126,0.09822,4

ROUGE-L+StopWordRemoval,FNS32825,32825.TXT,0.21778,0.17865,0.19628,3

ROUGE-1+StopWordRemoval,FNS32825,32825.TXT,0.32011,0.20412,0.24928,3

ROUGE-2+StopWordRemoval,FNS32825,32825.TXT,0.12550,0.05029,0.07181,3

ROUGE-SU4+StopWordRemoval,FNS32825,32825.TXT,0.22372,0.07954,0.11735,3

ROUGE-L+StopWordRemoval,FNS31979,31979.TXT,0.39316,0.18346,0.25018,3

ROUGE-1+StopWordRemoval,FNS31979,31979.TXT,0.45971,0.17989,0.25859,3

ROUGE-2+StopWordRemoval,FNS31979,31979.TXT,0.15236,0.04438,0.06874,3

ROUGE-SU4+StopWordRemoval,FNS31979,31979.TXT,0.22630,0.07455,0.11216,3

ROUGE-L+StopWordRemoval,FNS31617,31617.TXT,0.30307,0.16423,0.21302,4

ROUGE-1+StopWordRemoval,FNS31617,31617.TXT,0.35299,0.19553,0.25166,4

ROUGE-2+StopWordRemoval,FNS31617,31617.TXT,0.16421,0.07619,0.10408,4

ROUGE-SU4+StopWordRemoval,FNS31617,31617.TXT,0.23951,0.10554,0.14652,4

ROUGE-L+StopWordRemoval,FNS31618,31618.TXT,0.44841,0.24625,0.31791,3

ROUGE-1+StopWordRemoval,FNS31618,31618.TXT,0.50849,0.32852,0.39916,3

ROUGE-2+StopWordRemoval,FNS31618,31618.TXT,0.36912,0.15409,0.21742,3

ROUGE-SU4+StopWordRemoval,FNS31618,31618.TXT,0.36442,0.18685,0.24703,3

ROUGE-L+StopWordRemoval,FNS31023,31023.TXT,0.33637,0.28122,0.30634,3

ROUGE-1+StopWordRemoval,FNS31023,31023.TXT,0.32615,0.38000,0.35102,3

ROUGE-2+StopWordRemoval,FNS31023,31023.TXT,0.15548,0.16422,0.15973,3

ROUGE-SU4+StopWordRemoval,FNS31023,31023.TXT,0.19797,0.20606,0.20193,3

ROUGE-L+StopWordRemoval,FNS31265,31265.TXT,0.22177,0.13544,0.16818,4

ROUGE-1+StopWordRemoval,FNS31265,31265.TXT,0.28743,0.14159,0.18972,4

ROUGE-2+StopWordRemoval,FNS31265,31265.TXT,0.09676,0.03593,0.05240,4

